
2024/01/10 (01:55:21) | ===> btop++ v.1.3.0
2024/01/10 (01:55:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/10 (01:55:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/10 (02:06:06) | ===> btop++ v.1.3.0
2024/01/10 (02:06:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/10 (02:06:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/10 (02:34:24) | ===> btop++ v.1.3.0
2024/01/10 (02:34:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/10 (02:34:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/10 (02:52:38) | ===> btop++ v.1.3.0
2024/01/10 (02:52:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/10 (02:52:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/10 (03:00:12) | ===> btop++ v.1.3.0
2024/01/10 (03:00:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/10 (03:00:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/10 (23:20:25) | ===> btop++ v.1.3.0
2024/01/10 (23:20:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/10 (23:20:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/10 (23:38:02) | ===> btop++ v.1.3.0
2024/01/10 (23:38:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/10 (23:38:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/10 (23:38:13) | ===> btop++ v.1.3.0
2024/01/10 (23:38:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/10 (23:38:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/11 (03:12:16) | ===> btop++ v.1.3.0
2024/01/11 (03:12:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/11 (03:12:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/11 (03:13:19) | ===> btop++ v.1.3.0
2024/01/11 (03:13:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/11 (03:13:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/14 (17:28:07) | ===> btop++ v.1.3.0
2024/01/14 (17:28:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/14 (17:28:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/14 (21:21:35) | ===> btop++ v.1.3.0
2024/01/14 (21:21:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/14 (21:21:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/15 (22:07:09) | ===> btop++ v.1.3.0
2024/01/15 (22:07:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/15 (22:07:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/16 (21:02:38) | ===> btop++ v.1.3.0
2024/01/16 (21:02:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/16 (21:02:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/16 (21:03:08) | ===> btop++ v.1.3.0
2024/01/16 (21:03:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/16 (21:03:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/17 (23:05:52) | ===> btop++ v.1.3.0
2024/01/17 (23:05:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/17 (23:05:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/19 (19:52:41) | ===> btop++ v.1.3.0
2024/01/19 (19:52:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/19 (19:52:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/21 (00:12:23) | ===> btop++ v.1.3.0
2024/01/21 (00:12:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/21 (00:12:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/21 (00:56:39) | ===> btop++ v.1.3.0
2024/01/21 (00:56:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/21 (00:56:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/21 (02:50:41) | ===> btop++ v.1.3.0
2024/01/21 (02:50:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
